Publication,Year_FY,Published_Date,TDR Band,TDR Tariff in Â£/(Site Day),Notes
Forecast,2029,12/09/2025,LV1,10.129053,LV1
Forecast,2029,12/09/2025,LV2,20.060333,LV2
Forecast,2029,12/09/2025,LV3,25.080506,LV3
Forecast,2029,12/09/2025,LV4,67.152518,LV4
Forecast,2029,12/09/2025,HV1,55.071431,HV1
Forecast,2029,12/09/2025,HV2,205.622083,HV2
Forecast,2029,12/09/2025,HV3,325.595573,HV3
Forecast,2029,12/09/2025,HV4,933.429084,HV4
Forecast,2029,12/09/2025,EHV1,543.655915,EHV1
Forecast,2029,12/09/2025,EHV2,1941.441324,EHV2
Forecast,2029,12/09/2025,EHV3,4065.285632,EHV3
Forecast,2029,12/09/2025,EHV4,9258.802465,EHV4
Forecast,2029,12/09/2025,T-Demand1,1831.919828,T-Demand1
Forecast,2029,12/09/2025,T-Demand2,5545.083628,T-Demand2
Forecast,2029,12/09/2025,T-Demand3,14439.287200,T-Demand3
Forecast,2029,12/09/2025,T-Demand4,30156.695776,T-Demand4
Forecast,2029,12/09/2025,Unmetered,3.964738,Unmetered
Forecast,2030,12/09/2025,Domestic,0.318200,Domestic
Forecast,2030,12/09/2025,LV_NoMIC_1,0.410574,LV_NoMIC_1
Forecast,2030,12/09/2025,LV_NoMIC_2,1.163060,LV_NoMIC_2
Forecast,2030,12/09/2025,LV_NoMIC_3,2.524786,LV_NoMIC_3
Forecast,2030,12/09/2025,LV_NoMIC_4,6.963279,LV_NoMIC_4
Forecast,2030,12/09/2025,LV1,11.192086,LV1
Forecast,2030,12/09/2025,LV2,22.165645,LV2
Forecast,2030,12/09/2025,LV3,27.712680,LV3
Forecast,2030,12/09/2025,LV4,74.200107,LV4
Forecast,2030,12/09/2025,HV1,60.930545,HV1
Forecast,2030,12/09/2025,HV2,227.498568,HV2
Forecast,2030,12/09/2025,HV3,359.897894,HV3
Forecast,2030,12/09/2025,HV4,1032.072136,HV4
Forecast,2030,12/09/2025,EHV1,601.479827,EHV1
Forecast,2030,12/09/2025,EHV2,2145.193624,EHV2
Forecast,2030,12/09/2025,EHV3,4497.796157,EHV3
Forecast,2030,12/09/2025,EHV4,10243.857361,EHV4
Forecast,2030,12/09/2025,T-Demand1,1964.116014,T-Demand1
Forecast,2030,12/09/2025,T-Demand2,5852.337303,T-Demand2
Forecast,2030,12/09/2025,T-Demand3,15965.053912,T-Demand3
Forecast,2030,12/09/2025,T-Demand4,33343.285385,T-Demand4
Forecast,2030,12/09/2025,Unmetered,4.175503,Unmetered
Forecast,2031,12/09/2025,Domestic,0.327714,Domestic
Forecast,2031,12/09/2025,LV_NoMIC_1,0.451677,LV_NoMIC_1
Forecast,2031,12/09/2025,LV_NoMIC_2,1.279494,LV_NoMIC_2
Forecast,2031,12/09/2025,LV_NoMIC_3,2.777543,LV_NoMIC_3
Forecast,2031,12/09/2025,LV_NoMIC_4,7.660377,LV_NoMIC_4
Forecast,2031,12/09/2025,LV1,12.304504,LV1
Forecast,2031,12/09/2025,LV2,24.368759,LV2
Forecast,2031,12/09/2025,LV3,30.467133,LV3
Forecast,2031,12/09/2025,LV4,81.575095,LV4
Forecast,2031,12/09/2025,HV1,67.030330,HV1
Forecast,2031,12/09/2025,HV2,250.273615,HV2
Forecast,2031,12/09/2025,HV3,395.741570,HV3
Forecast,2031,12/09/2025,HV4,1135.027489,HV4
Forecast,2031,12/09/2025,EHV1,661.685295,EHV1
Forecast,2031,12/09/2025,EHV2,2358.411333,EHV2
Forecast,2031,12/09/2025,EHV3,4948.072592,EHV3
Forecast,2031,12/09/2025,EHV4,11269.374618,EHV4
Forecast,2031,12/09/2025,T-Demand1,1980.034957,T-Demand1
Forecast,2031,12/09/2025,T-Demand2,6436.112563,T-Demand2
Forecast,2031,12/09/2025,T-Demand3,16524.781767,T-Demand3
Forecast,2031,12/09/2025,T-Demand4,36669.304392,T-Demand4
Forecast,2031,12/09/2025,Unmetered,4.350760,Unmetered
Forecast,2027,30/04/2025,Domestic,0.169156,Domestic
Forecast,2027,30/04/2025,LV_NoMIC_1,0.194529,LV_NoMIC_1
Forecast,2027,30/04/2025,LV_NoMIC_2,0.457684,LV_NoMIC_2
Forecast,2027,30/04/2025,LV_NoMIC_3,0.993546,LV_NoMIC_3
Forecast,2027,30/04/2025,LV_NoMIC_4,2.740169,LV_NoMIC_4
Forecast,2027,30/04/2025,LV1,4.560845,LV1
Forecast,2027,30/04/2025,LV2,9.032638,LV2
Forecast,2027,30/04/2025,LV3,11.293090,LV3
Forecast,2027,30/04/2025,LV4,30.237006,LV4
Forecast,2027,30/04/2025,HV1,24.378378,HV1
Forecast,2027,30/04/2025,HV2,91.022117,HV2
Forecast,2027,30/04/2025,HV3,144.945698,HV3
Forecast,2027,30/04/2025,HV4,414.802106,HV4
Forecast,2027,30/04/2025,EHV1,239.902567,EHV1
Forecast,2027,30/04/2025,EHV2,863.303060,EHV2
Forecast,2027,30/04/2025,EHV3,1793.623154,EHV3
Forecast,2027,30/04/2025,EHV4,4085.027223,EHV4
Forecast,2027,30/04/2025,T-Demand1,870.553009,T-Demand1
Forecast,2027,30/04/2025,T-Demand2,2470.404867,T-Demand2
Forecast,2027,30/04/2025,T-Demand3,6432.885014,T-Demand3
Forecast,2027,30/04/2025,T-Demand4,16122.227113,T-Demand4
Forecast,2027,30/04/2025,Unmetered,1.980257,Unmetered
Final,2026,31/01/2025,Domestic,0.135043,Domestic
Final,2026,31/01/2025,LV_NoMIC_1,0.154829,LV_NoMIC_1
Final,2026,31/01/2025,LV_NoMIC_2,0.366046,LV_NoMIC_2
Final,2026,31/01/2025,LV_NoMIC_3,0.760709,LV_NoMIC_3
Final,2026,31/01/2025,LV_NoMIC_4,2.068587,LV_NoMIC_4
Final,2026,31/01/2025,LV1,3.907710,LV1
Final,2026,31/01/2025,LV2,6.529117,LV2
Final,2026,31/01/2025,LV3,10.251874,LV3
Final,2026,31/01/2025,LV4,22.739548,LV4
Final,2026,31/01/2025,HV1,21.830361,HV1
Final,2026,31/01/2025,HV2,62.799637,HV2
Final,2026,31/01/2025,HV3,121.795409,HV3
Final,2026,31/01/2025,HV4,317.597969,HV4
Final,2026,31/01/2025,EHV1,160.765059,EHV1
Final,2026,31/01/2025,EHV2,741.786430,EHV2
Final,2026,31/01/2025,EHV3,1576.232814,EHV3
Final,2026,31/01/2025,EHV4,3882.736230,EHV4
Final,2026,31/01/2025,T-Demand1,647.798551,T-Demand1
Final,2026,31/01/2025,T-Demand2,2287.643779,T-Demand2
Final,2026,31/01/2025,T-Demand3,5446.380603,T-Demand3
Final,2026,31/01/2025,T-Demand4,12796.715359,T-Demand4
Final,2026,31/01/2025,Unmetered,1.571791,Unmetered
Draft,2026,29/11/2024,Domestic,0.148704,Domestic
Draft,2026,29/11/2024,LV_NoMIC_1,0.170491,LV_NoMIC_1
Draft,2026,29/11/2024,LV_NoMIC_2,0.403074,LV_NoMIC_2
Draft,2026,29/11/2024,LV_NoMIC_3,0.844912,LV_NoMIC_3
Draft,2026,29/11/2024,LV_NoMIC_4,2.300924,LV_NoMIC_4
Draft,2026,29/11/2024,LV1,4.302998,LV1
Draft,2026,29/11/2024,LV2,7.189576,LV2
Draft,2026,29/11/2024,LV3,11.288913,LV3
Draft,2026,29/11/2024,LV4,25.039789,LV4
Draft,2026,29/11/2024,HV1,24.038633,HV1
Draft,2026,29/11/2024,HV2,69.152197,HV2
Draft,2026,29/11/2024,HV3,134.115745,HV3
Draft,2026,29/11/2024,HV4,352.092870,HV4
Draft,2026,29/11/2024,EHV1,177.027409,EHV1
Draft,2026,29/11/2024,EHV2,816.822572,EHV2
Draft,2026,29/11/2024,EHV3,1772.543779,EHV3
Draft,2026,29/11/2024,EHV4,4172.367764,EHV4
Draft,2026,29/11/2024,T-Demand1,713.327257,T-Demand1
Draft,2026,29/11/2024,T-Demand2,2519.052656,T-Demand2
Draft,2026,29/11/2024,T-Demand3,5997.314639,T-Demand3
Draft,2026,29/11/2024,T-Demand4,14091.179805,T-Demand4
Draft,2026,29/11/2024,Unmetered,1.730788,Unmetered
Forecast,2026,31/07/2024,Domestic,0.135823,Domestic
Forecast,2026,31/07/2024,LV_NoMIC_1,0.091560,LV_NoMIC_1
Forecast,2026,31/07/2024,LV_NoMIC_2,0.332169,LV_NoMIC_2
Forecast,2026,31/07/2024,LV_NoMIC_3,0.767145,LV_NoMIC_3
Forecast,2026,31/07/2024,LV_NoMIC_4,2.283947,LV_NoMIC_4
Forecast,2026,31/07/2024,LV1,4.105523,LV1
Forecast,2026,31/07/2024,LV2,6.983995,LV2
Forecast,2026,31/07/2024,LV3,11.134944,LV3
Forecast,2026,31/07/2024,LV4,25.965876,LV4
Forecast,2026,31/07/2024,HV1,21.586225,HV1
Forecast,2026,31/07/2024,HV2,65.139082,HV2
Forecast,2026,31/07/2024,HV3,124.998029,HV3
Forecast,2026,31/07/2024,HV4,319.604356,HV4
Forecast,2026,31/07/2024,EHV1,174.276812,EHV1
Forecast,2026,31/07/2024,EHV2,877.000450,EHV2
Forecast,2026,31/07/2024,EHV3,1647.447367,EHV3
Forecast,2026,31/07/2024,EHV4,4617.682978,EHV4
Forecast,2026,31/07/2024,T-Demand1,632.567787,T-Demand1
Forecast,2026,31/07/2024,T-Demand2,2125.129762,T-Demand2
Forecast,2026,31/07/2024,T-Demand3,5589.944623,T-Demand3
Forecast,2026,31/07/2024,T-Demand4,13376.044359,T-Demand4
Forecast,2026,31/07/2024,Unmetered,1.559189,Unmetered
Forecast,2026,20/06/2024,Domestic,0.137691,Domestic
Forecast,2026,20/06/2024,LV_NoMIC_1,0.092819,LV_NoMIC_1
Forecast,2026,20/06/2024,LV_NoMIC_2,0.336737,LV_NoMIC_2
Forecast,2026,20/06/2024,LV_NoMIC_3,0.777694,LV_NoMIC_3
Forecast,2026,20/06/2024,LV_NoMIC_4,2.315352,LV_NoMIC_4
Forecast,2026,20/06/2024,LV1,4.161976,LV1
Forecast,2026,20/06/2024,LV2,7.080029,LV2
Forecast,2026,20/06/2024,LV3,11.288055,LV3
Forecast,2026,20/06/2024,LV4,26.322919,LV4
Forecast,2026,20/06/2024,HV1,21.883045,HV1
Forecast,2026,20/06/2024,HV2,66.034774,HV2
Forecast,2026,20/06/2024,HV3,126.716808,HV3
Forecast,2026,20/06/2024,HV4,323.999060,HV4
Forecast,2026,20/06/2024,EHV1,176.673197,EHV1
Forecast,2026,20/06/2024,EHV2,889.059604,EHV2
Forecast,2026,20/06/2024,EHV3,1670.100515,EHV3
Forecast,2026,20/06/2024,EHV4,4681.178212,EHV4
Forecast,2026,20/06/2024,T-Demand1,528.049641,T-Demand1
Forecast,2026,20/06/2024,T-Demand2,2143.077137,T-Demand2
Forecast,2026,20/06/2024,T-Demand3,4993.164837,T-Demand3
Forecast,2026,20/06/2024,T-Demand4,15902.582985,T-Demand4
Forecast,2026,20/06/2024,Unmetered,1.580629,Unmetered
Forecast,2027,20/06/2024,Domestic,0.139171,Domestic
Forecast,2027,20/06/2024,LV_NoMIC_1,0.094412,LV_NoMIC_1
Forecast,2027,20/06/2024,LV_NoMIC_2,0.342515,LV_NoMIC_2
Forecast,2027,20/06/2024,LV_NoMIC_3,0.791038,LV_NoMIC_3
Forecast,2027,20/06/2024,LV_NoMIC_4,2.355081,LV_NoMIC_4
Forecast,2027,20/06/2024,LV1,4.233392,LV1
Forecast,2027,20/06/2024,LV2,7.201516,LV2
Forecast,2027,20/06/2024,LV3,11.481748,LV3
Forecast,2027,20/06/2024,LV4,26.774598,LV4
Forecast,2027,20/06/2024,HV1,22.258539,HV1
Forecast,2027,20/06/2024,HV2,67.167874,HV2
Forecast,2027,20/06/2024,HV3,128.891159,HV3
Forecast,2027,20/06/2024,HV4,329.558604,HV4
Forecast,2027,20/06/2024,EHV1,179.704757,EHV1
Forecast,2027,20/06/2024,EHV2,904.315099,EHV2
Forecast,2027,20/06/2024,EHV3,1698.757998,EHV3
Forecast,2027,20/06/2024,EHV4,4761.503187,EHV4
Forecast,2027,20/06/2024,T-Demand1,537.110516,T-Demand1
Forecast,2027,20/06/2024,T-Demand2,2179.850490,T-Demand2
Forecast,2027,20/06/2024,T-Demand3,5078.843233,T-Demand3
Forecast,2027,20/06/2024,T-Demand4,16175.457574,T-Demand4
Forecast,2027,20/06/2024,Unmetered,1.607751,Unmetered
Forecast,2028,20/06/2024,Domestic,0.144861,Domestic
Forecast,2028,20/06/2024,LV_NoMIC_1,0.098957,LV_NoMIC_1
Forecast,2028,20/06/2024,LV_NoMIC_2,0.359003,LV_NoMIC_2
Forecast,2028,20/06/2024,LV_NoMIC_3,0.829119,LV_NoMIC_3
Forecast,2028,20/06/2024,LV_NoMIC_4,2.468454,LV_NoMIC_4
Forecast,2028,20/06/2024,LV1,4.437186,LV1
Forecast,2028,20/06/2024,LV2,7.548194,LV2
Forecast,2028,20/06/2024,LV3,12.034475,LV3
Forecast,2028,20/06/2024,LV4,28.063517,LV4
Forecast,2028,20/06/2024,HV1,23.330057,HV1
Forecast,2028,20/06/2024,HV2,70.401312,HV2
Forecast,2028,20/06/2024,HV3,135.095934,HV3
Forecast,2028,20/06/2024,HV4,345.423440,HV4
Forecast,2028,20/06/2024,EHV1,188.355681,EHV1
Forecast,2028,20/06/2024,EHV2,947.848510,EHV2
Forecast,2028,20/06/2024,EHV3,1780.535612,EHV3
Forecast,2028,20/06/2024,EHV4,4990.720280,EHV4
Forecast,2028,20/06/2024,T-Demand1,562.966828,T-Demand1
Forecast,2028,20/06/2024,T-Demand2,2284.787728,T-Demand2
Forecast,2028,20/06/2024,T-Demand3,5323.336964,T-Demand3
Forecast,2028,20/06/2024,T-Demand4,16954.138426,T-Demand4
Forecast,2028,20/06/2024,Unmetered,1.689765,Unmetered
Forecast,2029,20/06/2024,Domestic,0.149774,Domestic
Forecast,2029,20/06/2024,LV_NoMIC_1,0.103054,LV_NoMIC_1
Forecast,2029,20/06/2024,LV_NoMIC_2,0.373868,LV_NoMIC_2
Forecast,2029,20/06/2024,LV_NoMIC_3,0.863450,LV_NoMIC_3
Forecast,2029,20/06/2024,LV_NoMIC_4,2.570664,LV_NoMIC_4
Forecast,2029,20/06/2024,LV1,4.620914,LV1
Forecast,2029,20/06/2024,LV2,7.860739,LV2
Forecast,2029,20/06/2024,LV3,12.532781,LV3
Forecast,2029,20/06/2024,LV4,29.225530,LV4
Forecast,2029,20/06/2024,HV1,24.296074,HV1
Forecast,2029,20/06/2024,HV2,73.316386,HV2
Forecast,2029,20/06/2024,HV3,140.689789,HV3
Forecast,2029,20/06/2024,HV4,359.726229,HV4
Forecast,2029,20/06/2024,EHV1,196.154837,EHV1
Forecast,2029,20/06/2024,EHV2,987.095635,EHV2
Forecast,2029,20/06/2024,EHV3,1854.261426,EHV3
Forecast,2029,20/06/2024,EHV4,5197.368726,EHV4
Forecast,2029,20/06/2024,T-Demand1,586.277335,T-Demand1
Forecast,2029,20/06/2024,T-Demand2,2379.392876,T-Demand2
Forecast,2029,20/06/2024,T-Demand3,5543.757915,T-Demand3
Forecast,2029,20/06/2024,T-Demand4,17656.150594,T-Demand4
Forecast,2029,20/06/2024,Unmetered,1.754924,Unmetered
Forecast,2030,20/06/2024,Domestic,0.152012,Domestic
Forecast,2030,20/06/2024,LV_NoMIC_1,0.105353,LV_NoMIC_1
Forecast,2030,20/06/2024,LV_NoMIC_2,0.382207,LV_NoMIC_2
Forecast,2030,20/06/2024,LV_NoMIC_3,0.882707,LV_NoMIC_3
Forecast,2030,20/06/2024,LV_NoMIC_4,2.627998,LV_NoMIC_4
Forecast,2030,20/06/2024,LV1,4.723974,LV1
Forecast,2030,20/06/2024,LV2,8.036056,LV2
Forecast,2030,20/06/2024,LV3,12.812299,LV3
Forecast,2030,20/06/2024,LV4,29.877346,LV4
Forecast,2030,20/06/2024,HV1,24.837948,HV1
Forecast,2030,20/06/2024,HV2,74.951557,HV2
Forecast,2030,20/06/2024,HV3,143.827585,HV3
Forecast,2030,20/06/2024,HV4,367.749180,HV4
Forecast,2030,20/06/2024,EHV1,200.529667,EHV1
Forecast,2030,20/06/2024,EHV2,1009.110767,EHV2
Forecast,2030,20/06/2024,EHV3,1895.616903,EHV3
Forecast,2030,20/06/2024,EHV4,5313.285316,EHV4
Forecast,2030,20/06/2024,T-Demand1,599.353042,T-Demand1
Forecast,2030,20/06/2024,T-Demand2,2432.460327,T-Demand2
Forecast,2030,20/06/2024,T-Demand3,5667.400002,T-Demand3
Forecast,2030,20/06/2024,T-Demand4,18049.934617,T-Demand4
Forecast,2030,20/06/2024,Unmetered,1.794064,Unmetered
Final,2025,08/02/2024,Domestic,0.104586,Domestic
Final,2025,08/02/2024,LV_NoMIC_1,0.069796,LV_NoMIC_1
Final,2025,08/02/2024,LV_NoMIC_2,0.253213,LV_NoMIC_2
Final,2025,08/02/2024,LV_NoMIC_3,0.584795,LV_NoMIC_3
Final,2025,08/02/2024,LV_NoMIC_4,1.741054,LV_NoMIC_4
Final,2025,08/02/2024,LV1,3.129643,LV1
Final,2025,08/02/2024,LV2,5.323905,LV2
Final,2025,08/02/2024,LV3,8.488176,LV3
Final,2025,08/02/2024,LV4,19.793806,LV4
Final,2025,08/02/2024,HV1,16.455194,HV1
Final,2025,08/02/2024,HV2,49.655569,HV2
Final,2025,08/02/2024,HV3,95.286086,HV3
Final,2025,08/02/2024,HV4,243.634626,HV4
Final,2025,08/02/2024,EHV1,132.851337,EHV1
Final,2025,08/02/2024,EHV2,668.538064,EHV2
Final,2025,08/02/2024,EHV3,1255.850294,EHV3
Final,2025,08/02/2024,EHV4,3520.063002,EHV4
Final,2025,08/02/2024,T-Demand1,397.072685,T-Demand1
Final,2025,08/02/2024,T-Demand2,1611.510222,T-Demand2
Final,2025,08/02/2024,T-Demand3,3754.664746,T-Demand3
Final,2025,08/02/2024,T-Demand4,11958.120683,T-Demand4
Final,2025,08/02/2024,Unmetered,1.188571,Unmetered
Draft,2025,12/12/2023,Domestic,0.098727,Domestic
Draft,2025,12/12/2023,LV_NoMIC_1,0.065351,LV_NoMIC_1
Draft,2025,12/12/2023,LV_NoMIC_2,0.231905,LV_NoMIC_2
Draft,2025,12/12/2023,LV_NoMIC_3,0.540823,LV_NoMIC_3
Draft,2025,12/12/2023,LV_NoMIC_4,1.693296,LV_NoMIC_4
Draft,2025,12/12/2023,LV1,2.938703,LV1
Draft,2025,12/12/2023,LV2,5.059902,LV2
Draft,2025,12/12/2023,LV3,8.266652,LV3
Draft,2025,12/12/2023,LV4,19.174832,LV4
Draft,2025,12/12/2023,HV1,14.844464,HV1
Draft,2025,12/12/2023,HV2,45.903309,HV2
Draft,2025,12/12/2023,HV3,90.769885,HV3
Draft,2025,12/12/2023,HV4,231.419602,HV4
Draft,2025,12/12/2023,EHV1,106.284923,EHV1
Draft,2025,12/12/2023,EHV2,572.422573,EHV2
Draft,2025,12/12/2023,EHV3,1157.404151,EHV3
Draft,2025,12/12/2023,EHV4,3151.067193,EHV4
Draft,2025,12/12/2023,T-Demand1,375.204547,T-Demand1
Draft,2025,12/12/2023,T-Demand2,1522.758894,T-Demand2
Draft,2025,12/12/2023,T-Demand3,3547.882635,T-Demand3
Draft,2025,12/12/2023,T-Demand4,11299.546455,T-Demand4
Draft,2025,12/12/2023,Unmetered,1.123113,Unmetered
Forecast,2025,31/07/2023,Domestic,0.123070,Domestic
Forecast,2025,31/07/2023,LV_NoMIC_1,0.062848,LV_NoMIC_1
Forecast,2025,31/07/2023,LV_NoMIC_2,0.286013,LV_NoMIC_2
Forecast,2025,31/07/2023,LV_NoMIC_3,0.682049,LV_NoMIC_3
Forecast,2025,31/07/2023,LV_NoMIC_4,2.117729,LV_NoMIC_4
Forecast,2025,31/07/2023,LV1,3.421300,LV1
Forecast,2025,31/07/2023,LV2,6.281411,LV2
Forecast,2025,31/07/2023,LV3,10.223005,LV3
Forecast,2025,31/07/2023,LV4,23.028571,LV4
Forecast,2025,31/07/2023,HV1,17.819143,HV1
Forecast,2025,31/07/2023,HV2,57.357083,HV2
Forecast,2025,31/07/2023,HV3,112.618479,HV3
Forecast,2025,31/07/2023,HV4,285.827674,HV4
Forecast,2025,31/07/2023,EHV1,134.873289,EHV1
Forecast,2025,31/07/2023,EHV2,663.159738,EHV2
Forecast,2025,31/07/2023,EHV3,1337.142725,EHV3
Forecast,2025,31/07/2023,EHV4,3641.431558,EHV4
Forecast,2025,31/07/2023,T-Demand1,503.117244,T-Demand1
Forecast,2025,31/07/2023,T-Demand2,1851.779425,T-Demand2
Forecast,2025,31/07/2023,T-Demand3,4572.834315,T-Demand3
Forecast,2025,31/07/2023,T-Demand4,10332.780846,T-Demand4
Forecast,2025,31/07/2023,Unmetered,1.283776703,Unmetered
Final,2024,14/02/2023,Domestic,0.119264,Domestic
Final,2024,14/02/2023,LV_NoMIC_1,0.060904,LV_NoMIC_1
Final,2024,14/02/2023,LV_NoMIC_2,0.277168,LV_NoMIC_2
Final,2024,14/02/2023,LV_NoMIC_3,0.660956,LV_NoMIC_3
Final,2024,14/02/2023,LV_NoMIC_4,2.052237,LV_NoMIC_4
Final,2024,14/02/2023,LV1,3.315495,LV1
Final,2024,14/02/2023,LV2,6.087156,LV2
Final,2024,14/02/2023,LV3,9.906854,LV3
Final,2024,14/02/2023,LV4,22.316402,LV4
Final,2024,14/02/2023,HV1,17.268078,HV1
Final,2024,14/02/2023,HV2,55.583289,HV2
Final,2024,14/02/2023,HV3,109.135702,HV3
Final,2024,14/02/2023,HV4,276.988323,HV4
Final,2024,14/02/2023,EHV1,130.702271,EHV1
Final,2024,14/02/2023,EHV2,642.651221,EHV2
Final,2024,14/02/2023,EHV3,1295.790976,EHV3
Final,2024,14/02/2023,EHV4,3528.818626,EHV4
Final,2024,14/02/2023,T-Demand1,402.035899,T-Demand1
Final,2024,14/02/2023,T-Demand2,1678.272958,T-Demand2
Final,2024,14/02/2023,T-Demand3,4550.996601,T-Demand3
Final,2024,14/02/2023,T-Demand4,11722.39918,T-Demand4
Final,2024,14/02/2023,Unmetered,1.247483749,Unmetered
